"","user","majorContributor","responses","topics","avgNumberOfResponsesPerTopic","avgNumberOfResponsesBeforeResponse","avgNumberOfResponsesAfterResponse","entropy","yearJoined","firstDayResponse","avgGap","avgStd","standardTopics","normalTopics"
"1","123",1,12,1,0,1.416666667,155.3333333,3.618857775,0,110,8.461538462,6.782329983,-0.0520483337542118,0.0144927536231884
"2","1deby",1,9,1,0,0,0,1.690914344,5,3,0.3,47.82562075,-0.0520483337542118,0.0144927536231884
"8","aaron_f",1,4,0,0,21.25,29.5,1.458326639,0,3,0.75,40.92370951,-0.409742201894859,0
"9","aaron_z",1,0,1,0,0,0,0.36458166,1,0,0,0,-0.0520483337542118,0.0144927536231884
"30","alanaclemens",1,2,0,0,3.5,153.5,0.258213298,3,3,1.5,6.5,-0.409742201894859,0
"32","albertacowpoke",1,1,1,0,17,6,0.503447509,4,0,1.5,1.5,-0.0520483337542118,0.0144927536231884
"37","allen",1,1,0,0,0,0,0.36458166,1,7,7,0,-0.409742201894859,0
"41","amanda02",1,0,0,0,0,0,0,5,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"44","amanda17",1,0,0,0,0,0,0,2,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"45","amanda18",1,3,1,0,0,0,0.673512028,2,5,1.5,1.089724736,-0.0520483337542118,0.0144927536231884
"46","amanda28",1,0,0,0,0,0,0,3,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"48","amanda5",1,3,14,0,0,0,1.336511428,1,3,1.705882353,73.56808395,4.5979719520742,0.202898550724638
"50","amanda_ferraro",1,2,1,0,0,0,0.696168833,2,5,1.666666667,2.828427125,-0.0520483337542118,0.0144927536231884
"57","amidying",1,0,0,0,0,0,0,6,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"61","amy_hogan",1,2,0,0,0,0,0.729163319,2,42,21,0,-0.409742201894859,0
"62","amy_horne",1,0,0,0,0,0,0,2,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"67","andrea10",1,10,5,1.388888889,20.4,67.9,0.507636307,3,10,0.666666667,6.431174076,1.37872713880838,0.072463768115942
"73","andres_m_tavera",1,3,1,0,0,0,0.606297714,4,0,1.5,29.65952629,-0.0520483337542118,0.0144927536231884
"75","andy13",1,8,1,0,0,0,2.801172574,6,1,7.444444444,24.9151647,-0.0520483337542118,0.0144927536231884
"80","angela_m",1,0,0,0,0,0,0,5,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"84","angiemel",1,0,0,0,0,0,0,5,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"88","anj",1,1,0,0,0,0,0.325427612,2,47,47,0,-0.409742201894859,0
"89","anjalee_wingo",1,0,1,5,0,0,0.36458166,2,1,1,0,-0.0520483337542118,0.0144927536231884
"91","anna2",1,4,1,0,0,0,1.458326639,1,3,0.6,0,-0.0520483337542118,0.0144927536231884
"93","annarebekah",1,0,0,2,0,0,0,3,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"95","anne_findlay",1,4,1,0,0,0,0.412486561,0,40,10,13.20605922,-0.0520483337542118,0.0144927536231884
"97","annie12",1,0,0,0,0,0,0,4,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"102","aoife",1,0,0,0,0,0,0,0,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"111","ashley_boyd",1,2,7,0,0,0,1.092573515,0,0,4,19.97776542,2.09411487508967,0.101449275362319
"112","askmanny",1,2,21,0.001360544,0,496,0.81911592,0,0,0.434782609,4.871117765,7.10182902905874,0.304347826086957
"114","atrannals",1,2,4,0,0,0,0.696168833,5,4,1,1.154700538,1.02103327066773,0.0579710144927536
"117","awg0681",1,0,0,0,0,0,0,5,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"118","awillie",1,0,0,0,0,0,0,1,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"120","aztype1",1,0,0,0,0,0,0,3,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"121","azurah",1,0,0,0,0,0,0,5,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"124","babak",1,0,0,0,0,0,0,1,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"125","baby_peanut",1,6,0,0,0,0,0.169790375,4,2,0.333333333,7.335227028,-0.409742201894859,0
"128","badlands",1,0,0,0,0,0,0,7,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"129","badshoe",1,2,5,0,0,0,2.356301377,0,0,7.142857143,22.49988662,1.37872713880838,0.072463768115942
"130","baglady",1,1,0,0,0,0,0.348084416,4,3,3,0,-0.409742201894859,0
"132","barb_wagstaff",1,6,9,0,0,0,1.363521299,1,0,9.133333333,59.82247812,2.80950261137097,0.130434782608696
"133","barbara13",1,1,0,0,0,0,0.348084416,5,3,3,0,-0.409742201894859,0
"141","bathyscaph",1,0,0,0,0,0,0,3,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"142","bbach",1,0,0,0,0,0,0,1,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"143","bballmom",1,0,0,0,0,0,0,5,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"148","bec1",1,0,2,0,0,0,0.36458166,5,1,0.5,4,0.305645534386436,0.0289855072463768
"149","becca",1,0,1,0,0,0,0.325427612,1,2,2,0,-0.0520483337542118,0.0144927536231884
"150","becki",1,1,0,0,0,0,0.348084416,6,10,10,0,-0.409742201894859,0
"154","beibhinn_burke",1,0,0,0,0,0,0,3,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"155","bek",1,0,10,0,0,0,3.293430164,1,0,0.7,2.416609195,3.16719647951161,0.144927536231884
"165","bethanne_strasser",1,1,2,0,0,0,0.348084416,2,24,8.333333333,1.699673171,0.305645534386436,0.0289855072463768
"171","biedronk",1,0,1,0,0,0,0.348084416,5,6,6,0,-0.0520483337542118,0.0144927536231884
"175","bill_d",1,12,1,0,0,0,1.708856686,3,21,3.384615385,46.74746457,-0.0520483337542118,0.0144927536231884
"178","bill_halper",1,2,0,0,0,0,0.348084416,2,8,4,64.5,-0.409742201894859,0
"180","bill_n",1,0,0,0,0,0,0,4,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"181","bill_quick",1,10,1,0,0,0,3.480844163,5,95,8.636363636,0.287479787,-0.0520483337542118,0.0144927536231884
"183","billie_manning",1,0,0,0,0,0,0,3,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"186","bjorn_inge_vikhammer",1,2,0,0,0,0,0.650855223,6,2,1,1.5,-0.409742201894859,0
