user,majorContributor,responses,topics,avgNumberOfResponsesPerTopic,avgNumberOfResponsesBeforeResponse,avgNumberOfResponsesAfterResponse,entropy,yearJoined,firstDayResponse,avgGap,avgStd
123,1,12,1,0,1.416666667,155.3333333,3.618857775,0,110,8.461538462,6.782329983
1deby,1,9,1,0,0,0,1.690914344,5,3,0.3,47.82562075
2tall63,1,21,5,2.888888889,28.85714286,66.23809524,1.665424818,5,1,2.346153846,23.38236958
812005,0,4,0,0,104,33.25,0.690009271,4,40,29,26.9664143
a_o_t_s,0,4,3,0,0,0,0.750544397,3,2,12.28571429,38.01879235
aaron1,0,8,1,0,0,0,1.173359898,1,1,0.111111111,21.21320344
aaron4,0,1,2,0,0,0,0.178019898,2,0,0.666666667,0.942809042
aaron_f,1,4,0,0,21.25,29.5,1.458326639,0,3,0.75,40.92370951
aaron_z,1,0,1,0,0,0,0.36458166,1,0,0,0
abby1,0,51,0,0,0,0,11.15519857,2,10,0.529411765,144.1488082
abby5,0,5,3,0,0,0,1.093744979,6,89,11.125,3.497767145
abby_lael,0,4,1,0,0,0,1.15849153,4,7,1.6,2.244994432
abe1,0,8,0,0,0,0,2.861001986,6,37,12,23.47205786
abyzer,0,3,0,0,18,29.66666667,0.729163319,1,25,8.333333333,35.92894222
ac11,0,5,1,0,0,0,1.740422082,4,30,5,13.55236757
aceswimmer,0,1,1,0,80,1540,0.077136632,2,9,4.5,13
aconn,0,0,1,2,0,0,0.36458166,4,168,168,0
aconnell,0,3,2,184,2106,783,1.093744979,5,25,5,0
acoustic_avenger,0,4,3,0,0,0,0.673512028,3,5,3.285714286,8.030553899
adam7,0,3,0,0,0,0,1.077247736,2,26,8.666666667,13.29995823
adam_kaufman,0,5,0,0,0,0,0.723638788,1,9,2.2,26.48018127
adam_kaye,0,5,4,0,0,0,1.363521299,0,0,15.11111111,64.32114642
adrienne2,0,2,0,0,0,0,0.36458166,2,4,2,3.5
ag1,0,2,1,0,0,0,0.690009271,1,1,37,45.32352835
aimeee,0,1,1,0,0,0,0.325427612,5,0,1,1
ajbaum,0,10,6,7.6,27.1,59.5,1.617204159,5,18,1.125,61.4669309
