eventResponse,responses,topics,avgNumberOfResponsesPerTopic,avgNumberOfResponsesBeforeResponse,avgNumberOfResponsesAfterResponse,entropy,yearJoined,firstDayResponse,avgGap,avgStd,oneOrZeroResponses,responsesInDifferentTopics
0,0,0,0,0,0,0,3,26.87105476,18.68244277,25.90683595,1,0
0,2,0,0,0,0,0.475455551,4,10,5,0,0,0
0,0,0,0,0,0,0,6,26.87105476,18.68244277,25.90683595,1,0
0,0,0,0,0,0,0,4,26.87105476,18.68244277,25.90683595,1,0
1,0,0,0,0,0,0,0,26.87105476,18.68244277,25.90683595,1,0
0,0,0,0,0,0,0,7,26.87105476,18.68244277,25.90683595,1,0
0,0,0,0,0,0,0,0,26.87105476,18.68244277,25.90683595,1,0
0,0,1,0,0,0,0.237727775,5,10,10,0,1,0
0,0,0,0,0,0,0,7,26.87105476,18.68244277,25.90683595,1,0
0,0,0,0,0,0,0,4,26.87105476,18.68244277,25.90683595,1,0
0,0,0,0,0,0,0,7,26.87105476,18.68244277,25.90683595,1,0
0,0,0,0,0,0,0,6,26.87105476,18.68244277,25.90683595,1,0
0,0,0,0,0,0,0,3,26.87105476,18.68244277,25.90683595,1,0
0,0,0,0,0,0,0,5,26.87105476,18.68244277,25.90683595,1,0
0,0,0,0,0,0,0,4,26.87105476,18.68244277,25.90683595,1,0
0,0,0,0,0,0,0,0,26.87105476,18.68244277,25.90683595,1,0
1,1,0,0,0,0,0.237727775,5,15,15,0,1,0
0,0,0,0,0,0,0,3,26.87105476,18.68244277,25.90683595,1,0
0,0,0,0,0,0,0,4,26.87105476,18.68244277,25.90683595,1,0
0,0,0,0,0,0,0,7,26.87105476,18.68244277,25.90683595,1,0
1,1,0,0,20,8,0.237727775,5,5,5,0,1,1
0,0,0,0,0,0,0,8,26.87105476,18.68244277,25.90683595,1,0
0,0,0,0,0,0,0,4,26.87105476,18.68244277,25.90683595,1,0
0,0,0,0,0,0,0,6,26.87105476,18.68244277,25.90683595,1,0
0,0,0,0,0,0,0,1,26.87105476,18.68244277,25.90683595,1,0
0,0,0,0,0,0,0,5,26.87105476,18.68244277,25.90683595,1,0
0,0,0,0,0,0,0,7,26.87105476,18.68244277,25.90683595,1,0
0,0,0,0,0,0,0,8,26.87105476,18.68244277,25.90683595,1,0
0,0,0,0,0,0,0,6,26.87105476,18.68244277,25.90683595,1,0
0,0,0,0,0,0,0,6,26.87105476,18.68244277,25.90683595,1,0
0,0,0,0,0,0,0,6,26.87105476,18.68244277,25.90683595,1,0
0,0,0,0,0,0,0,6,26.87105476,18.68244277,25.90683595,1,0
0,0,0,0,0,0,0,3,26.87105476,18.68244277,25.90683595,1,0
0,0,0,0,0,0,0,4,26.87105476,18.68244277,25.90683595,1,0
0,0,0,0,0,0,0,7,26.87105476,18.68244277,25.90683595,1,0
0,0,0,0,0,0,0,5,26.87105476,18.68244277,25.90683595,1,0
0,0,0,0,0,0,0,4,26.87105476,18.68244277,25.90683595,1,0
1,0,0,0,0,0,0,3,26.87105476,18.68244277,25.90683595,1,0
0,0,0,0,0,0,0,5,26.87105476,18.68244277,25.90683595,1,0
0,0,0,0,0,0,0,3,26.87105476,18.68244277,25.90683595,1,0
0,0,0,0,0,0,0,6,26.87105476,18.68244277,25.90683595,1,0
0,0,0,0,0,0,0,4,26.87105476,18.68244277,25.90683595,1,0
0,0,0,0,0,0,0,4,26.87105476,18.68244277,25.90683595,1,0
0,0,0,0,0,0,0,6,26.87105476,18.68244277,25.90683595,1,0
0,3,0,0,84,324,0.713183326,6,21,7,0,0,1
0,0,0,0,0,0,0,2,26.87105476,18.68244277,25.90683595,1,0
1,0,0,0,0,0,0,3,26.87105476,18.68244277,25.90683595,1,0
0,0,0,0,0,0,0,6,26.87105476,18.68244277,25.90683595,1,0
0,0,0,0,0,0,0,6,26.87105476,18.68244277,25.90683595,1,0
0,0,0,0,0,0,0,3,26.87105476,18.68244277,25.90683595,1,0
0,0,0,0,0,0,0,7,26.87105476,18.68244277,25.90683595,1,0
0,0,0,0,0,0,0,6,26.87105476,18.68244277,25.90683595,1,0
0,0,0,0,0,0,0,3,26.87105476,18.68244277,25.90683595,1,0
0,0,0,0,0,0,0,5,26.87105476,18.68244277,25.90683595,1,0
0,7,0,0,190,50,1.902469515,8,14,2,0,0,2
0,0,1,2,0,0,0.356915319,7,7,7,0,1,0
0,0,0,0,0,0,0,5,26.87105476,18.68244277,25.90683595,1,0
0,0,0,0,0,0,0,4,26.87105476,18.68244277,25.90683595,1,0
0,0,0,0,0,0,0,5,26.87105476,18.68244277,25.90683595,1,0
0,1,0,0,6,1,0.237727775,3,8,8,0,1,1
0,0,0,0,0,0,0,4,26.87105476,18.68244277,25.90683595,1,0
0,0,0,0,0,0,0,7,26.87105476,18.68244277,25.90683595,1,0
1,0,0,0,0,0,0,5,26.87105476,18.68244277,25.90683595,1,0
0,0,0,0,0,0,0,7,26.87105476,18.68244277,25.90683595,1,0
0,0,0,0,0,0,0,7,26.87105476,18.68244277,25.90683595,1,0
